Epoch [D]           RV [km/s]            RV_err [km/s]           InstrumentID
661.59329040        23.46723550          0.16848527              0
662.55950050        23.24274826          0.13585069              0
663.30805490        23.03930429          0.11042109              0
664.30736120        22.78052125          0.11464569              0
665.34537290        22.60479890          0.11190418              0
666.37264180        22.45196826          0.23529484              0
667.30528450        22.35796677          0.13010338              0
668.32033080        22.12953492          0.17647167              0
672.37257790        21.04754465          0.11559215              0
672.40757690        21.00626432          0.13853205              0
672.43660560        21.06209800          0.14334564              0
683.38519540        19.40140033          0.12910954              0
694.30821200        17.40245797          0.12839593              0
701.28226690        16.55140192          0.11213935              0
701.39153480        16.41311359          0.38008980              0
702.30126720        16.29344513          0.07823000              0
702.39021060        16.19719910          0.09327827              0
703.30076810        16.02565385          0.09953241              0
705.29981840        15.76917055          0.08498461              0
708.29872080        15.33749221          0.19366629              0
709.30525670        15.18880839          0.14956992              0
711.41381190        14.84007454          0.17667924              0
711.41972840        14.88892850          0.12777320              0
711.42349430        14.95724115          0.15458600              0
711.42736480        14.80349813          0.22694302              0
711.43126740        15.01533954          0.24534520              0
711.43558140        14.92885729          0.25979848              0
711.43987310        14.87326678          0.19248365              0
711.44348950        14.85007923          0.25495938              0
711.44834790        14.99478845          0.18678903              0
717.37147260        14.24830720          0.09130362              0
717.37715330        14.37191803          0.10786175              0
717.38328620        14.35302661          0.12874652              0
717.39817040        14.34950310          0.09629076              0
717.40301770        14.36809935          0.08056050              0
726.79220590        13.42079126          0.18552875              0
726.79615620        13.43151788          0.14887662              0
726.79984940        13.30753042          0.19004955              0
727.80073480        13.46792793          0.37970810              0
728.80056190        13.53364437          0.07691850              0
732.80482810        13.28138807          0.11460962              0
737.72393050        13.38336568          0.12407110              0
738.72518630        13.46936963          0.17475016              0
757.81326360        17.82511616          0.17366788              0
763.72011710        20.70188706          0.31888808              0
763.72351070        21.25860346          0.16054620              0
764.72216370        21.94835380          0.33595929              0
764.72554200        21.92430544          0.28269524              0
769.77284980        26.36894861          0.17386902              0
770.72138550        27.35490677          0.13194956              0
770.81270020        27.31947542          0.11659282              0
779.71952580        38.54203717          0.12794457              0
779.81185880        38.56534776          0.12001753              0
780.73588940        39.77453774          0.07624594              0
780.80239500        40.09255644          0.12018088              0
780.80587920        39.79985662          0.26606114              0
780.80957670        39.73244874          0.17613322              0
781.76378760        41.35503417          0.09469762              0
782.72051060        42.80971984          0.10136881              0
783.71964050        44.10764503          0.16630559              0
787.72852610        49.78403742          0.16608248              0
788.71960200        50.94279326          0.10640206              0
789.72019680        52.24664665          0.33886884              0
791.73276540        54.46483997          0.10771276              0
792.73199240        55.20752117          0.10401378              0
820.54642380        59.34985589          0.18489973              0
822.60824370        58.43716792          0.14859299              0
823.59380760        58.11847361          0.12407149              0
824.59641960        57.72459806          0.12573167              0
842.77160880        50.42854448          0.07209967              0
853.64234890        46.46845265          0.15484393              0
855.73712300        45.86390460          0.16073371              0
860.74497110        43.96950413          0.09994762              0
863.72025140        42.91671839          0.12673685              0
863.74896280        42.89372003          0.09995957              0
995.46406350        14.61746252          0.20226632              0
1003.53591370       13.46853989          1.98995887              0
1091.79849800       61.65778011          0.19101914              0
1096.79959730       60.51605939          0.19229961              0
1101.78693150       58.96837252          0.18874305              0
1106.75588460       57.15652920          0.15422811              0
1110.74966960       55.56121597          0.20005232              0
1114.72740110       53.97851290          0.14439854              0
1121.71578010       51.17163806          0.16415626              0
1128.76825780       48.75358554          0.20910454              0
1131.68104290       47.61705913          0.15561420              0
1144.65407560       42.99656154          0.18038718              0
1213.51630020       24.84759404          0.22630803              0
1226.43634110       22.36560173          0.24198822              0
1233.40152170       21.25371481          0.34310837              0
1239.40603180       20.00063686          0.23776685              0
1242.39308520       19.66525868          0.51558477              0
1246.65381980       18.96078628          0.09193666              0
1259.60888470       16.69758055          0.10338367              0
1263.59053410       16.05188309          0.67307431              0
1267.60297120       15.43908107          0.10527321              0
1271.71219510       14.91375161          0.07682408              0
1277.73641800       14.34503224          0.12922296              0
1284.63746390       13.62058391          0.11707651              0
1289.62878430       13.39642451          0.10203293              0
1293.66913540       13.32425149          0.11291032              0
1299.65334740       13.48839967          0.10275871              0
1302.65313150       13.54259748          0.22751587              0
1306.63503480       14.07570412          0.10486379              0
1312.61886230       15.46538339          0.16372639              0
1317.60466330       17.04916013          0.11222749              0
1321.59297990       19.16164706          0.09812411              0
1324.56419630       21.02257674          0.12831372              0
1340.41153080       38.06903803          0.10597767              0
1346.71349960       46.93546711          0.21979127              0
1353.38447950       55.00853161          0.12689208              0
1357.35957750       58.46054761          0.26774235              0
1360.68429600       60.09171094          0.44316765              0
1366.62738080       61.41317358          0.67429066              0
1373.48752670       61.15923611          0.10775185              0
1380.41161570       59.41609474          0.15431582              0
1383.50317550       58.24314245          0.12589449              0
1386.52504920       57.41054555          0.21889747              0
1390.38507820       55.62292000          0.15890199              0
1393.30812160       54.56211107          0.32412827              0
1403.37786580       50.67197929          0.08916884              0
1406.40725130       49.66776810          0.17985973              0
1409.29639980       48.35290010          0.07173302              0
1415.34187660       46.15754802          0.13024869              0
1423.37747200       43.42695426          0.12077876              0
1426.31713130       42.51281841          0.14759381              0
1430.36825200       41.05706857          0.12943938              0
1433.28158350       40.26602061          0.13038353              0
1443.35737620       37.35843809          0.12651735              0
1479.35422780       28.22641209          0.15263096              0
1482.29906700       27.60534519          0.15411972              0
1487.28969820       26.21741409          0.55156326              0
1493.29256420       25.27364391          0.14449392              0
1496.79293760       24.59333248          0.23018519              0
1758.34043660       28.86645407          0.36121726              0
1759.34822850       28.51236906          0.12198894              0
1761.33649980       28.20093044          0.16024657              0
1762.34901050       27.92764962          0.14390240              0
1763.40458460       27.72760948          0.14203736              0
1764.33257450       27.29189629          0.10019875              0
1765.43859430       27.12176058          0.13415571              0
1766.46943750       26.91013919          0.09770168              0
1769.42248660       26.31176115          0.12033529              0
1771.37214530       25.84858123          0.11349238              0
1772.45513560       25.66519162          0.20410821              0
1775.31076340       25.04231981          0.12895456              0
1780.39800520       23.95712367          0.22506442              0
1781.43463370       23.90504444          0.26993911              0
1806.78814570       18.91563404          0.15858675              0
1838.72791540       14.33165437          0.16930542              0
